sid,model_name,holdout_celltype,n_deg,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse
C57BL6J-2.039,cpa,glutamatergic neuron_Isocortex,200,0.8854916372909324,0.9185060858726501,0.565,1.0,0.565,0.975,0.7374343846365532,31.547120094299316,37.1701358795166,9.212160301208495,311.110205078125,3.91050386428833
C57BL6J-2.039,cpa,oligodendrocyte_Fiber_tracts,200,0.695780394509863,0.7817875146865845,0.425,0.9882352941176471,0.42,0.9,0.6597523080802092,23.809055900573732,21.877698516845705,5.22380895614624,161.84247131347655,3.66544246673584
C57BL6J-2.039,cpa,oligodendrocyte_Isocortex,200,0.8255051376284408,0.5922150015830994,0.59,0.9830508474576272,0.58,0.9,0.8625667457594165,24.748971366882323,24.249502182006836,4.692837142944336,165.08929138183595,3.7057864665985107
C57BL6J-2.039,scgen,GABAergic neuron_Fiber_tracts,200,0.7027600690017252,0.7457101941108704,0.27,0.9444444444444444,0.255,0.72,0.6216678942310976,14.264427185058594,19.976880264282226,5.08258285522461,728.0830322265625,2.9118776321411133
C57BL6J-2.039,scgen,GABAergic neuron_Isocortex,200,0.7534943373584341,0.7918468713760376,0.395,0.9873417721518988,0.39,0.825,0.8292142088709793,15.004174995422364,22.652681732177733,6.383871459960938,746.3240966796875,3.002908229827881
C57BL6J-2.039,scgen,astrocyte_Fiber_tracts,200,0.7397854946373661,0.7166465520858765,0.34,0.9852941176470589,0.335,0.75,0.9430580608056884,10.879715728759766,11.496368408203125,3.861711120605469,751.776318359375,3.226155996322632
C57BL6J-2.039,scgen,astrocyte_Isocortex,200,0.8348038700967526,0.8626495003700256,0.325,1.0,0.325,0.875,0.3867846941017673,9.152499389648437,11.244098663330078,3.657106876373291,618.3573120117187,3.209989547729492
C57BL6J-2.039,scgen,endothelial cell_Fiber_tracts,200,0.5913147828695718,0.5057248473167419,0.315,0.9523809523809523,0.3,0.83,0.668502888559586,9.814036560058593,10.770579528808593,3.2071696281433106,386.4866577148438,3.3083624839782715
C57BL6J-2.039,scgen,endothelial cell_Isocortex,200,0.8296122403060078,0.8283438086509705,0.355,0.9859154929577465,0.35,0.805,0.45055380758703606,7.2637073516845705,8.740884780883789,2.224546432495117,745.3883483886718,3.258519411087036
C57BL6J-2.039,scgen,glutamatergic neuron_Fiber_tracts,200,0.4342593564839122,0.43172943592071533,0.185,0.7027027027027027,0.13,0.605,0.589249872195399,16.1052001953125,24.147012329101564,11.094236278533936,836.6087463378906,3.8405396938323975
