dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc,top_n_perturb,nb_deviance
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-gat-pert,oligodendrocyte,0.5129891956782713,0.7715418,0.52,1.0,0.52,0.98,0.9964344060816575,30.14313621520996,30.727435684204103,6.835556316375732,143.24523315429687,7639.3857,7.7616096,200,0.007487303813210494
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,cellina-gat-pert,astrocyte,0.8801440576230493,0.90231,0.66,1.0,0.66,0.98,0.9235646796622407,31.882940101623536,31.666340255737303,6.409357643127441,251.48973693847657,3784.7097,7.6810784,200,0.020145718911173064
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-gat-pert,astrocyte,0.8376950780312125,0.8068752,0.62,1.0,0.62,0.96,0.8078372938070216,32.410404205322266,33.684564208984376,6.193736362457275,391.3634338378906,4659.6855,13.700015,200,0.032990717754267256
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,cellina-gat-pert,GABAergic neuron,0.8717887154861945,0.9507085,0.5,1.0,0.5,0.98,0.7329490874159462,38.01931648254394,43.59873962402344,6.976181602478027,270.41526184082034,1480.5087,4.575685,200,0.051416992297367285
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-gat-pert,GABAergic neuron,0.6888355342136855,0.7805865,0.28,1.0,0.28,0.9,0.8086560364464692,37.53178939819336,44.430985641479495,8.836641979217529,510.18614807128904,1701.6005,12.125977,200,0.07367697378332116
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,cellina-gat-pert,endothelial cell,0.836830732292917,0.87822783,0.62,1.0,0.62,0.98,0.9065721484664774,33.142363739013675,33.86745147705078,7.089895629882813,247.23839111328124,3580.4734,25.374826,200,0.01533650557016375
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-gat-pert,endothelial cell,0.7696998799519807,0.9921854,0.14,0.8571428571428571,0.12,0.52,0.9969879518072289,34.204964828491214,35.09675331115723,6.9806774139404295,280.58025512695315,5097.048,274.3963,200,0.010988088693673856
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-gat-pert,glutamatergic neuron,0.8273229291716686,0.9619204,0.54,1.0,0.54,1.0,0.9322929447245728,38.80385551452637,45.88867416381836,9.694107818603516,379.775048828125,11810.219,9.163165,200,0.10540579876874699
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-gat-pert,glutamatergic neuron,0.6759663865546219,0.8714065,0.48,1.0,0.48,1.0,0.7818441023430601,37.69504928588867,47.60238609313965,11.42542839050293,554.8912780761718,12136.468,5.2089686,200,0.08365692431824064
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-gat-pert,astrocyte,0.8439375750300119,0.87757283,0.68,1.0,0.68,1.0,0.9691530249990942,34.35087432861328,33.86233711242676,6.974655342102051,228.10077514648438,2917.364,15.57176,200,0.01307785093804141
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-gat-pert,astrocyte,0.6154621848739495,0.578879,0.5,0.92,0.46,0.88,0.7655154111893337,34.55582122802734,35.033124160766604,6.2395148277282715,485.7864929199219,3727.4346,58.622147,200,0.0254884499201855
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-gat-pert,GABAergic neuron,0.8638175270108043,0.94249105,0.56,1.0,0.56,1.0,0.3822657817564438,35.10158157348633,39.80110092163086,9.744821262359618,476.2024719238281,1196.9093,8.070479,200,0.08327239398835352
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-gat-pert,GABAergic neuron,0.7350300120048018,0.736513,0.42,0.8571428571428571,0.36,0.7,0.38327370990772447,37.09313201904297,41.726327896118164,8.940343856811523,484.05537109375,1329.4528,188.18741,200,0.04166669328047875
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-gat-pert,endothelial cell,0.8947418967587035,0.93125796,0.74,1.0,0.74,0.98,0.69788575100205,35.388326263427736,37.02060470581055,7.38656530380249,217.99920654296875,2878.0205,42.30571,200,0.013176979393610302
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-gat-pert,endothelial cell,0.45968787515005993,0.9941854,0.12,1.0,0.12,0.9,0.9091934395340094,37.090325927734376,38.32130851745605,7.142576503753662,317.0171173095703,3412.1707,304.33884,200,0.01236847136303923
